Entry,6/mL min-1,7:06,Solvent:6,Temp/°C,% Impurity,STY/kg m-3 h-1,8/%
1,0.252,4.9,0.694,111.8,4.3,94,29.4
2,0.212,2.36,0.785,113.8,5.8,127,47.3
3,0.346,2.823,0.661,114.8,3.8,129,29.4
4,0.29,1.189,0.704,117.6,4.8,158,42.9
5,0.222,4.65,0.953,118.7,5.6,111,39.5
6,0.396,2.169,0.883,120.7,3.5,165,32.8
7,0.231,1.57,0.861,122.3,7.9,162,55.3
8,0.382,1.962,0.613,124.3,4.8,208,43
9,0.312,3.497,0.629,126.5,6.2,167,42.2
10,0.268,3.736,0.528,128,8.2,175,51.4
11,0.321,4.182,0.5,130.8,7.2,195,47.9
12,0.378,1.301,0.802,133,5.6,233,48.7
13,0.336,2.664,0.93,136,8.2,231,54.2
14,0.202,3.835,0.975,136.5,15,162,63.4
15,0.301,4.482,0.577,139.5,10.3,217,56.8
16,0.367,3.178,0.737,140.1,9.2,255,54.7
17,0.286,2.442,0.575,142.2,17.3,249,68.6
18,0.243,4.373,0.763,144.8,16.4,199,64.6
19,0.272,3.293,0.835,146.5,16.5,225,65.3
20,0.356,1.719,0.905,148.7,11.8,290,64.1
21,0.4,1,0.987,118.5,3.5,146,28.8
22,0.4,1,1,126.7,3.2,175,34.6
23,0.4,1,1,135.8,4.6,216,42.5
24,0.4,1,1,143.2,5.8,251,49.4
25,0.4,5,0.5,111.8,3.5,108,21.2
26,0.4,1,0.757,128.8,4.7,215,42.5
27,0.4,1,0.53,130.7,5.5,259,51.1
28,0.4,1,0.52,139.5,7.6,294,57.9
29,0.4,5,0.66,126.8,4.8,160,31.5
30,0.4,4.852,0.549,131.2,4.9,181,35.8
31,0.4,1,0.799,143.2,7.8,278,54.9
32,0.4,1,0.5,150,10,331,65.2
33,0.4,2.785,1,139.1,6.4,231,45.5
34,0.4,2.755,0.978,146.7,9,266,52.5
35,0.4,1,0.615,146.9,9.7,317,62.4
36,0.4,5,1,120.9,3.1,132,26
37,0.4,1,0.5,122,4.5,228,44.9
38,0.4,1.259,0.505,127.7,5.5,254,50.2
39,0.4,1,0.5,133.7,6.4,271,53.5
40,0.4,1.026,0.701,110,2.2,142,27.9
41,0.4,2.216,0.992,110,2.4,101,20
42,0.4,1,0.5,134.6,6.8,271,53.5
43,0.4,1.068,0.5,145.3,9.2,321,63.4
44,0.4,1,0.655,110,2.3,147,28.9
45,0.4,5,1,111.2,2.7,84,16.6
46,0.4,1,0.907,130.7,4.1,201,39.7
47,0.4,1,0.5,140.7,7.3,298,58.8
48,0.4,1.055,0.5,119.6,3.2,205,40.3
49,0.4,1.239,0.5,126.4,5,241,47.4
50,0.4,1.682,0.5,131.3,6.8,263,51.9
51,0.4,1,0.569,113.1,2.9,160,31.5
52,0.4,1,0.569,115.7,3.2,175,34.5
53,0.4,1,0.568,119.1,3.3,189,37.3
54,0.4,1.005,0.677,150,8.9,326,64.2
55,0.4,1,0.549,111.2,2.4,162,31.9
56,0.4,1,0.621,132.1,4.8,243,48
57,0.4,1,0.549,149,9.5,321,63.4
58,0.4,1,0.528,150,8.7,325,64.2
59,0.4,1,0.5,118.2,3.2,203,40
60,0.4,1,0.5,123.9,3.9,226,44.6
61,0.4,1,0.87,150,8.5,300,59.1
62,0.4,1,0.644,150,8.3,314,61.9
63,0.4,1,0.5,110,2.4,166,32.7
64,0.4,1,0.5,115.4,2.7,181,35.8
65,0.4,1,0.5,118.2,3.2,202,39.8
66,0.4,1,0.5,134.8,6.4,279,54.9
67,0.346,1.001,0.756,110,2.8,132,30.1
68,0.355,1,0.5,110,2.5,155,34.5
69,0.4,1,0.5,133.4,6,269,53
70,0.4,1,0.5,145.7,9.2,318,62.8
71,0.4,1,0.558,126.3,4.4,231,45.6
72,0.397,1,0.558,135.6,6.4,274,54.4
73,0.4,1,0.558,145.7,8.3,311,61.3
74,0.4,1,0.513,150,9.4,326,64.4
75,0.4,1,0.5,113.2,3.1,179,35.2
76,0.4,1,0.5,131.5,5.6,263,51.8
77,0.4,1,0.5,137,6.7,282,55.7
78,0.4,1,0.5,141.9,7.9,303,59.8